students_capped,price_clean,is_free,discount_rate_actual,source,students_log,price_log,has_discount
102,400.0,False,0.0,Shaguf,4.634728988229636,5.993961427306569,False
101,1.0,False,99.4,Shaguf,4.624972813284271,0.6931471805599453,True
2,10.0,False,69.7,Shaguf,1.0986122886681096,2.3978952727983707,True
231,80.0,False,59.8,Shaguf,5.44673737166631,4.394449154672439,True
1315,7.0,False,99.73,Shaguf,7.182352111885263,2.0794415416798357,True
102,6.0,False,99.7,Shaguf,4.634728988229636,1.9459101490553132,True
1330,150.0,False,46.04,Shaguf,7.193685818395112,5.017279836814924,True
101,4.0,False,99.8,Shaguf,4.624972813284271,1.6094379124341003,True
1,14.0,False,79.0,Shaguf,0.6931471805599453,2.70805020110221,True
2,1.0,False,99.46,Shaguf,1.0986122886681096,0.6931471805599453,True
132,10.0,False,96.66,Shaguf,4.890349128221754,2.3978952727983707,True
101,7.0,False,89.45,Shaguf,4.624972813284271,2.0794415416798357,True
1,2.0,False,99.91,Shaguf,0.6931471805599453,1.0986122886681096,True
101,4.0,False,93.97,Shaguf,4.624972813284271,1.6094379124341003,True
252,13.0,False,96.29,Shaguf,5.53338948872752,2.639057329615259,True
9,2.0,False,99.87,Shaguf,2.302585092994046,1.0986122886681096,True
201,1.0,False,98.8,Shaguf,5.308267697401205,0.6931471805599453,True
2,18.0,False,81.94,Shaguf,1.0986122886681096,2.9444389791664403,True
1,9.0,False,86.5,Shaguf,0.6931471805599453,2.302585092994046,True
101,4.0,False,99.87,Shaguf,4.624972813284271,1.6094379124341003,True
1331,2.0,False,98.79,Shaguf,7.194436851100335,1.0986122886681096,True
212,2500.0,False,0.0,Shaguf,5.3612921657094255,7.824445930877619,False
101,21.0,False,99.47,Shaguf,4.624972813284271,3.091042453358316,True
151,24.0,False,93.14,Shaguf,5.0238805208462765,3.2188758248682006,True
103,6.0,False,99.8,Shaguf,4.6443908991413725,1.9459101490553132,True
205,31.0,False,90.69,Shaguf,5.327876168789581,3.4657359027997265,True
214,1.0,False,98.8,Shaguf,5.3706380281276624,0.6931471805599453,True
101,4.0,False,97.33,Shaguf,4.624972813284271,1.6094379124341003,True
205,7.0,False,99.77,Shaguf,5.327876168789581,2.0794415416798357,True
162,9.0,False,95.91,Shaguf,5.093750200806762,2.302585092994046,True
113,6.0,False,99.8,Shaguf,4.736198448394496,1.9459101490553132,True
1,11.0,False,99.56,Shaguf,0.6931471805599453,2.4849066497880004,True
215,2.0,False,99.93,Shaguf,5.375278407684165,1.0986122886681096,True
101,2490.0,False,0.0,Shaguf,4.624972813284271,7.820439515262181,False
370,3.0,False,99.0,Shaguf,5.916202062607435,1.3862943611198906,True
1,8.0,False,96.0,Shaguf,0.6931471805599453,2.1972245773362196,True
463,150.0,False,24.62,Shaguf,6.139884552226255,5.017279836814924,True
2,1.0,False,99.5,Shaguf,1.0986122886681096,0.6931471805599453,True
74,45.0,False,77.39,Shaguf,4.31748811353631,3.828641396489095,True
231,150.0,False,24.62,Shaguf,5.44673737166631,5.017279836814924,True
102,30.0,False,84.92,Shaguf,4.634728988229636,3.4339872044851463,True
291,6.0,False,96.98,Shaguf,5.676753802268282,1.9459101490553132,True
1331,1990.0,False,0.0,Shaguf,7.194436851100335,7.596392304064196,False
370,20.0,False,92.81,Shaguf,5.916202062607435,3.044522437723423,True
1,11.0,False,95.6,Shaguf,0.6931471805599453,2.4849066497880004,True
2,10.0,False,96.0,Shaguf,1.0986122886681096,2.3978952727983707,True
